place_id,external_id,author,rating,text,published_at
sim_beer_garden,tick_sim_beer_garden_16ec0bd781b5,Hila Ohayon,5,"Took my team here for a celebration. Big tables, great service, everyone was happy.",2026-04-24T17:30:33.245209+00:00
sim_beer_garden,tick_sim_beer_garden_7a97fe3504c4,Amos Tzur,3,"Service is inconsistent — sometimes fast, sometimes you're waiting forever. Nice garden though.",2026-04-24T17:30:33.245209+00:00
sim_tap_room,tick_sim_tap_room_14f6064a1a6c,Pini Ben-Haim,5,For beer geeks this is paradise. Flight of four is the move for first-timers.,2026-04-24T17:30:51.907687+00:00
sim_tap_room,tick_sim_tap_room_24f440c388c0,Moshe Shaul,5,Raised the bar for craft beer in this city. The session IPA on tap now is brilliant.,2026-04-24T17:30:51.907687+00:00
sim_tap_room,tick_sim_tap_room_31a91afb0779,Omer Klein,3,"Amazing tap list, claustrophobic space. Hard to relax when you're shoulder to shoulder.",2026-04-24T17:30:51.907687+00:00
sim_tap_room,tick_sim_tap_room_426b0a989906,Ronit Shahar,4,Great beer education — staff will help you find exactly what you're looking for.,2026-04-24T17:30:51.907687+00:00
sim_tap_room,tick_sim_tap_room_7fe6ecc04668,Noam Elul,4,Love the chalkboard tap list. Something new every time. The sour this week is amazing.,2026-04-24T17:30:51.907687+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_0aaca734d5c0,Tali Sela,3,Nice place but quite loud. Hard to hold a conversation at peak hours.,2026-04-24T18:08:53.283195+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_e1b1f78511f4,Itai Gold,4,Solid bar with real personality. The porter is my regular order. Seating gets tight by 9pm.,2026-04-24T18:08:53.283195+00:00
sim_beer_garden,tick_sim_beer_garden_271bd5712d2a,Yossi Katz,4,Great for groups — big tables and the staff handles crowds well. Wish the tap list were wider.,2026-04-24T18:09:06.917548+00:00
sim_beer_garden,tick_sim_beer_garden_400416475e25,Neta Gold,4,The garden in the evening is beautiful. Service is friendly if a little slow.,2026-04-24T18:09:06.917548+00:00
sim_beer_garden,tick_sim_beer_garden_48c55e0eb209,Inbal Cohen,4,Lovely garden bar. The wheat beer is refreshing and the food is better than expected.,2026-04-24T18:09:06.917548+00:00
sim_beer_garden,tick_sim_beer_garden_a84e5aefa798,Dina Koren,3,Pretty place but the beer selection is limited to mainstream brands. Go for the atmosphere.,2026-04-24T18:09:06.917548+00:00
sim_tap_room,tick_sim_tap_room_1efc5b67cc31,Yonit Ziv,5,Consistent quality across every visit. The double IPA is exceptional and the staff are genuine experts.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_2c2781ead52e,Moshe Shaul,5,Raised the bar for craft beer in this city. The session IPA on tap now is brilliant.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_5357b7ed24e4,Dotan Peretz,5,The chalkboard tap list changes constantly. Something new every visit. The DIPA right now is extraordinary.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_58083536045b,Pini Ben-Haim,5,For beer geeks this is paradise. Flight of four is the move for first-timers.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_663cba8d922e,Ronit Shahar,4,Great beer education — staff will help you find exactly what you're looking for.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_678700da2d1b,Shani Cohen,5,The barrel-aged stout they had last week was the best beer I've had in years. Staff know their stuff.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_876155bb92f0,Gad Cohen,4,Serious about craft in a way most Tel Aviv bars aren't. Pricey but fair for the curation.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_99e6180443e3,Amir Sagi,5,"24 taps, all rotating, all excellent. This is the only craft beer bar that really gets it in Tel Aviv.",2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_9b9afc2a8da6,Noam Elul,4,Love the chalkboard tap list. Something new every time. The sour this week is amazing.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_b6fb388a4849,Inbal Mor,5,"The rotating list keeps me coming back weekly. Never the same beer twice, always excellent.",2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_c8446bf47cf3,Stav Rosen,5,"No shortcuts, just great beer and passion. This is what a craft beer bar should be.",2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_d59b9a005fca,Rafi Levi,5,If you care about craft beer this is your place. They import rare stuff you genuinely can't find elsewhere.,2026-04-24T18:09:20.487570+00:00
sim_tap_room,tick_sim_tap_room_e28ec9963936,Orli Bar,5,Staff recommended a sour I would never have picked myself — it was outstanding. Real expertise here.,2026-04-24T18:09:20.487570+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_3ab64971c3a1,Ayelet Ron,4,Love the concept — always something on tap I haven't tried. Wish they did more food.,2026-04-24T19:29:29.476403+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_5dbbe18e7d10,Dana Freed,4,"Great spot, gets crowded on weekends but the quality is consistent. Love the rotating taps.",2026-04-24T19:29:29.476403+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_bd3277fcfae2,Ofer Mizrahi,4,"Good selection, friendly staff. Slightly pricey but you're paying for curation.",2026-04-24T19:29:29.476403+00:00
sim_beer_garden,tick_sim_beer_garden_00fd572b36aa,Inbal Cohen,4,Lovely garden bar. The wheat beer is refreshing and the food is better than expected.,2026-04-24T19:29:42.672103+00:00
sim_beer_garden,tick_sim_beer_garden_789036187184,Yossi Katz,4,Great for groups — big tables and the staff handles crowds well. Wish the tap list were wider.,2026-04-24T19:29:42.672103+00:00
sim_beer_garden,tick_sim_beer_garden_8777f4afc13e,Kobi Levi,5,The cider is a hidden gem here. Garden is well maintained and vibe is just right.,2026-04-24T19:29:42.672103+00:00
sim_beer_garden,tick_sim_beer_garden_9eb2ed2b5594,Gadi Mor,5,"Came on a Tuesday evening — quiet, gorgeous, and the lager was perfectly cold. Love this place.",2026-04-24T19:29:42.672103+00:00
sim_beer_garden,tick_sim_beer_garden_bf2258337119,Neta Gold,4,The garden in the evening is beautiful. Service is friendly if a little slow.,2026-04-24T19:29:42.672103+00:00
sim_beer_garden,tick_sim_beer_garden_d947f0ed222c,Shir Blum,5,Best outdoor bar in the city. We come every Sunday — the brunch + beer combo is a ritual now.,2026-04-24T19:29:42.672103+00:00
sim_tap_room,tick_sim_tap_room_1737bfb957dc,Noam Elul,4,Love the chalkboard tap list. Something new every time. The sour this week is amazing.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_1e12b0a60922,Tali Katz,4,Tiny bar but big on quality. Standing room only on Thursdays but worth the squeeze.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_398c6aba4002,Yonit Ziv,5,Consistent quality across every visit. The double IPA is exceptional and the staff are genuine experts.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_3b3113da3d25,Limor Sela,4,Serious craft beer bar. The staff can talk for hours about beer styles. Very knowledgeable.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_4aa110278019,Moshe Shaul,5,Raised the bar for craft beer in this city. The session IPA on tap now is brilliant.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_4fbae13e9be1,Ronit Shahar,4,Great beer education — staff will help you find exactly what you're looking for.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_61f1c4a3af89,Gad Cohen,4,Serious about craft in a way most Tel Aviv bars aren't. Pricey but fair for the curation.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_89e2537f73d7,Inbal Mor,5,"The rotating list keeps me coming back weekly. Never the same beer twice, always excellent.",2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_8babb030c824,Stav Rosen,5,"No shortcuts, just great beer and passion. This is what a craft beer bar should be.",2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_90263b9d34de,Shani Cohen,5,The barrel-aged stout they had last week was the best beer I've had in years. Staff know their stuff.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_a36029f265c9,Pini Ben-Haim,5,For beer geeks this is paradise. Flight of four is the move for first-timers.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_d5811e6766c1,Rafi Levi,5,If you care about craft beer this is your place. They import rare stuff you genuinely can't find elsewhere.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_e6dc5da3f663,Orli Bar,5,Staff recommended a sour I would never have picked myself — it was outstanding. Real expertise here.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_f2c06ab15dd5,Yaron Green,4,The flight of four is a great way to explore. Always discover something new here.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_f67da799bbd8,Dotan Peretz,5,The chalkboard tap list changes constantly. Something new every visit. The DIPA right now is extraordinary.,2026-04-24T19:29:56.014703+00:00
sim_tap_room,tick_sim_tap_room_f8b40c03a564,Amir Sagi,5,"24 taps, all rotating, all excellent. This is the only craft beer bar that really gets it in Tel Aviv.",2026-04-24T19:29:56.014703+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_053283ee8fbd,Noa Eitan,5,"Best bar on Rothschild, no contest. Knowledgeable staff and rotating craft options.",2026-04-24T20:10:52.789834+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_15d146a49eda,Dor Avni,5,"Incredible tap list, something new every visit. The double IPA right now is world class.",2026-04-24T20:10:52.789834+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_3b5da5e0d83d,Tali Sela,3,Nice place but quite loud. Hard to hold a conversation at peak hours.,2026-04-24T20:10:52.789834+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_4d6e2e190ab2,Michal Saar,5,"The sampler board is the move for a first visit. Five styles, all excellent, good value.",2026-04-24T20:10:52.789834+00:00
sim_beer_garden,tick_sim_beer_garden_004a6b4fc8e6,Gadi Mor,5,"Came on a Tuesday evening — quiet, gorgeous, and the lager was perfectly cold. Love this place.",2026-04-24T20:11:05.128965+00:00
sim_beer_garden,tick_sim_beer_garden_77c1b28fa4da,Inbal Cohen,4,Lovely garden bar. The wheat beer is refreshing and the food is better than expected.,2026-04-24T20:11:05.128965+00:00
sim_beer_garden,tick_sim_beer_garden_886525524d8b,Roni Samson,4,Beautiful outdoor setting. Beer selection is mostly mainstream but the atmosphere makes up for it.,2026-04-24T20:11:05.128965+00:00
sim_beer_garden,tick_sim_beer_garden_88da9c1d2a1b,Yossi Katz,4,Great for groups — big tables and the staff handles crowds well. Wish the tap list were wider.,2026-04-24T20:11:05.128965+00:00
sim_beer_garden,tick_sim_beer_garden_a3b8fc020104,Dina Koren,3,Pretty place but the beer selection is limited to mainstream brands. Go for the atmosphere.,2026-04-24T20:11:05.128965+00:00
sim_beer_garden,tick_sim_beer_garden_a9dc3d346c50,Limor Raz,4,Solid neighborhood bar elevated by the outdoor area. The burger + pale ale is the combo.,2026-04-24T20:11:05.128965+00:00
sim_beer_garden,tick_sim_beer_garden_df0f34825551,Tal Weiss,5,The garden brunch is an institution. Go on a Sunday morning and thank me later.,2026-04-24T20:11:05.128965+00:00
sim_tap_room,tick_sim_tap_room_00ae07d6c9f7,Stav Rosen,5,"No shortcuts, just great beer and passion. This is what a craft beer bar should be.",2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_1459787151cc,Anat Friedman,3,The beer is excellent but the bar is small and cramped. Hard to get a seat on weekends.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_2fc723e6a31a,Gad Cohen,4,Serious about craft in a way most Tel Aviv bars aren't. Pricey but fair for the curation.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_30fc54c985d8,Tali Katz,4,Tiny bar but big on quality. Standing room only on Thursdays but worth the squeeze.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_49427ca499bb,Amir Sagi,5,"24 taps, all rotating, all excellent. This is the only craft beer bar that really gets it in Tel Aviv.",2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_505ba015bad7,Rafi Levi,5,If you care about craft beer this is your place. They import rare stuff you genuinely can't find elsewhere.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_5db045b2eba4,Yonit Ziv,5,Consistent quality across every visit. The double IPA is exceptional and the staff are genuine experts.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_72ec661ed5f4,Pini Ben-Haim,5,For beer geeks this is paradise. Flight of four is the move for first-timers.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_784eb0365523,Noam Elul,4,Love the chalkboard tap list. Something new every time. The sour this week is amazing.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_7acabdf02430,Ronit Shahar,4,Great beer education — staff will help you find exactly what you're looking for.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_89688b8ffd71,Limor Sela,4,Serious craft beer bar. The staff can talk for hours about beer styles. Very knowledgeable.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_8d11732e425e,Shani Cohen,5,The barrel-aged stout they had last week was the best beer I've had in years. Staff know their stuff.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_9720d4bd7746,Omer Klein,3,"Amazing tap list, claustrophobic space. Hard to relax when you're shoulder to shoulder.",2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_a31f32f88222,Barak Levi,3,"Good selection but pricey. You're paying for the curation, which is fair, but still.",2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_a7f95cf31f83,Orli Bar,5,Staff recommended a sour I would never have picked myself — it was outstanding. Real expertise here.,2026-04-24T20:11:18.260533+00:00
sim_tap_room,tick_sim_tap_room_ebbf7a4eb0a1,Yaron Green,4,The flight of four is a great way to explore. Always discover something new here.,2026-04-24T20:11:18.260533+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_1c0897896c51,Tamar Levy,5,The cheese board and the Belgian wheat are a match made in heaven. Flawless experience.,2026-04-24T21:13:50.883479+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_51a8279059c4,Nadav Shapiro,4,Great discovery. The flight of four is perfect for exploring without committing to a pint.,2026-04-24T21:13:50.883479+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_926e1ed4e5d1,Ayelet Ron,4,Love the concept — always something on tap I haven't tried. Wish they did more food.,2026-04-24T21:13:50.883479+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_96262dbeaa49,Shai Biton,5,Live jazz on Friday + that porter = perfect evening. Will return weekly.,2026-04-24T21:13:50.883479+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_a15f73c166e7,Ofer Mizrahi,4,"Good selection, friendly staff. Slightly pricey but you're paying for curation.",2026-04-24T21:13:50.883479+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_c0d13c77b680,Liron Ben-Zvi,4,Industrial design and long bar are a vibe. Service is fast even when full.,2026-04-24T21:13:50.883479+00:00
sim_beer_garden,tick_sim_beer_garden_03f30a6e2901,Yossi Katz,4,Great for groups — big tables and the staff handles crowds well. Wish the tap list were wider.,2026-04-24T21:14:06.573079+00:00
sim_beer_garden,tick_sim_beer_garden_1f8eea74e55f,Gadi Mor,5,"Came on a Tuesday evening — quiet, gorgeous, and the lager was perfectly cold. Love this place.",2026-04-24T21:14:06.573079+00:00
sim_beer_garden,tick_sim_beer_garden_34c62f2e3209,Hila Ohayon,5,"Took my team here for a celebration. Big tables, great service, everyone was happy.",2026-04-24T21:14:06.573079+00:00
sim_beer_garden,tick_sim_beer_garden_36272b946bb4,Yuval Paz,5,"The garden at sunset is something else. Cold lager, fairy lights, zero stress.",2026-04-24T21:14:06.573079+00:00
sim_beer_garden,tick_sim_beer_garden_83e7bb19d1ef,Erez Bar,4,Regular haunt for us. Not the most adventurous tap list but reliably good.,2026-04-24T21:14:06.573079+00:00
sim_beer_garden,tick_sim_beer_garden_8778f87e2eb5,Avi Stern,5,Magical atmosphere on a warm night. Staff are genuinely friendly and the garden is immaculate.,2026-04-24T21:14:06.573079+00:00
sim_beer_garden,tick_sim_beer_garden_cecb6c0724ea,Neta Gold,4,The garden in the evening is beautiful. Service is friendly if a little slow.,2026-04-24T21:14:06.573079+00:00
sim_beer_garden,tick_sim_beer_garden_d505049502b5,Limor Raz,4,Solid neighborhood bar elevated by the outdoor area. The burger + pale ale is the combo.,2026-04-24T21:14:06.573079+00:00
sim_tap_room,tick_sim_tap_room_248eb54a4b30,Moshe Shaul,5,Raised the bar for craft beer in this city. The session IPA on tap now is brilliant.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_397bed9fe1af,Pini Ben-Haim,5,For beer geeks this is paradise. Flight of four is the move for first-timers.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_40c37e8e86a9,Shani Cohen,5,The barrel-aged stout they had last week was the best beer I've had in years. Staff know their stuff.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_442a26a1c691,Inbal Mor,5,"The rotating list keeps me coming back weekly. Never the same beer twice, always excellent.",2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_58781528745a,Stav Rosen,5,"No shortcuts, just great beer and passion. This is what a craft beer bar should be.",2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_68529baa31f4,Rafi Levi,5,If you care about craft beer this is your place. They import rare stuff you genuinely can't find elsewhere.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_7eecec3e672c,Yaron Green,4,The flight of four is a great way to explore. Always discover something new here.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_7fa7d9708f67,Gad Cohen,4,Serious about craft in a way most Tel Aviv bars aren't. Pricey but fair for the curation.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_8af7d663e6a2,Orli Bar,5,Staff recommended a sour I would never have picked myself — it was outstanding. Real expertise here.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_9097615f0edc,Noam Elul,4,Love the chalkboard tap list. Something new every time. The sour this week is amazing.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_971f1c33de13,Amir Sagi,5,"24 taps, all rotating, all excellent. This is the only craft beer bar that really gets it in Tel Aviv.",2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_a6973dafd020,Ronit Shahar,4,Great beer education — staff will help you find exactly what you're looking for.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_bd0dd494af26,Dotan Peretz,5,The chalkboard tap list changes constantly. Something new every visit. The DIPA right now is extraordinary.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_d8a5987ab6b6,Tali Katz,4,Tiny bar but big on quality. Standing room only on Thursdays but worth the squeeze.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_edd84ede997e,Limor Sela,4,Serious craft beer bar. The staff can talk for hours about beer styles. Very knowledgeable.,2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_f358cf708f35,Omer Klein,3,"Amazing tap list, claustrophobic space. Hard to relax when you're shoulder to shoulder.",2026-04-24T21:14:22.282575+00:00
sim_tap_room,tick_sim_tap_room_fb8e9c2ead37,Yonit Ziv,5,Consistent quality across every visit. The double IPA is exceptional and the staff are genuine experts.,2026-04-24T21:14:22.282575+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_6288212c34ce,Omer Katz,5,Happy hour deals on weekdays are genuinely good. The pale ale hits different at half price.,2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_70b296bc4c62,Ran Ofer,5,Outdoor seating on a warm evening with a cold craft lager. Tel Aviv at its finest.,2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_89a1e90623f9,Yarden Cohen,5,"Came for one beer, stayed for three. The seasonal sour was outstanding.",2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_8abdfb983981,Dana Freed,4,"Great spot, gets crowded on weekends but the quality is consistent. Love the rotating taps.",2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_977e5f3d667d,Ayelet Ron,4,Love the concept — always something on tap I haven't tried. Wish they did more food.,2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_b5ed4efe8521,Adi Ben-Shahar,5,"Quiet Monday evening, bartender talked me through six taps. Left knowing a lot more about beer.",2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_be1c58743862,Shai Biton,5,Live jazz on Friday + that porter = perfect evening. Will return weekly.,2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_cec3942eed74,Noa Eitan,5,"Best bar on Rothschild, no contest. Knowledgeable staff and rotating craft options.",2026-04-24T22:09:07.990841+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_dc9f693704ba,Tamar Levy,5,The cheese board and the Belgian wheat are a match made in heaven. Flawless experience.,2026-04-24T22:09:07.990841+00:00
sim_beer_garden,tick_sim_beer_garden_2cdc80209928,Nurit Ben-David,5,"Perfect for a first date — beautiful setting, relaxed pace, good drink list.",2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_2dc7a6ad4c08,Inbal Cohen,4,Lovely garden bar. The wheat beer is refreshing and the food is better than expected.,2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_5f0e2cf2f505,Dina Koren,3,Pretty place but the beer selection is limited to mainstream brands. Go for the atmosphere.,2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_8a00c2a37b59,Erez Bar,4,Regular haunt for us. Not the most adventurous tap list but reliably good.,2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_906932d96c72,Yuval Paz,5,"The garden at sunset is something else. Cold lager, fairy lights, zero stress.",2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_958a0adc0ae1,Limor Raz,4,Solid neighborhood bar elevated by the outdoor area. The burger + pale ale is the combo.,2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_b1b128d89c42,Neta Gold,4,The garden in the evening is beautiful. Service is friendly if a little slow.,2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_e8e9b220cbb1,Kobi Levi,5,The cider is a hidden gem here. Garden is well maintained and vibe is just right.,2026-04-24T22:09:23.593148+00:00
sim_beer_garden,tick_sim_beer_garden_f59b7ebd1767,Yossi Katz,4,Great for groups — big tables and the staff handles crowds well. Wish the tap list were wider.,2026-04-24T22:09:23.593148+00:00
sim_tap_room,tick_sim_tap_room_126fb54b2124,Ronit Shahar,4,Great beer education — staff will help you find exactly what you're looking for.,2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_2ba758f1804e,Dotan Peretz,5,The chalkboard tap list changes constantly. Something new every visit. The DIPA right now is extraordinary.,2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_2e083b855353,Moshe Shaul,5,Raised the bar for craft beer in this city. The session IPA on tap now is brilliant.,2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_453ff67cfbc8,Orli Bar,5,Staff recommended a sour I would never have picked myself — it was outstanding. Real expertise here.,2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_5f03f02f36b6,Stav Rosen,5,"No shortcuts, just great beer and passion. This is what a craft beer bar should be.",2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_689458549308,Yonit Ziv,5,Consistent quality across every visit. The double IPA is exceptional and the staff are genuine experts.,2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_769b6fd03e6c,Inbal Mor,5,"The rotating list keeps me coming back weekly. Never the same beer twice, always excellent.",2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_78e3e3b12c2c,Rafi Levi,5,If you care about craft beer this is your place. They import rare stuff you genuinely can't find elsewhere.,2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_7f9d3b293aa7,Shani Cohen,5,The barrel-aged stout they had last week was the best beer I've had in years. Staff know their stuff.,2026-04-24T22:09:38.697678+00:00
sim_tap_room,tick_sim_tap_room_8a7cb2dc0b61,Yaron Green,4,The flight of four is a great way to explore. Always discover something new here.,2026-04-24T22:09:38.697678+00:00
